titulo,autor,anio,estante_numero,estante_seccion,piso,edificio,sede
Unrest,Jasen Peploe,1995,58,Marketing,27,TH,Phanat Nikhom
I Could Go on Singing,Parry Bythell,1997,11,Business Development,8,CN,Qiujima
I'm Reed Fish,Perry Brassington,2005,94,Support,52,PL,Kuczbork-Osada
Company, The	Albina Scamadine	1996	14	Product Management	79	ID	Margasari
Crow, The: Wicked Prayer	Corinne O' Mulderrig	1995	13	Legal	56	CN	Yoiqag
Deluge, The (Potop)	Freemon Probet	1985	5	Legal	45	AF	Ghazni
24 City (Er shi si cheng ji)	Andi Gerger	2008	100	Human Resources	13	DO	Santa Cruz de El Seibo
Affair of the Heart, An	Merrilee Woolis	1998	23	Product Management	14	ID	Ringinrejo
Simply Irresistible	Wiatt Reven	1987	79	Accounting	98	ID	Cimenga
Always for Pleasure	Lisle Benedit	1983	20	Support	20	CN	He’an
Citizen Ruth	Suzanne Guerin	1985	73	Research and Development	57	MG	Moramanga
Hidalgo	Gennifer Ewbanche	2010	25	Research and Development	14	CN	Shuangtang
Hearts Divided	Jackson Gooch	2009	48	Research and Development	38	CN	Wenlin
Dragonwyck	Lorant Polk	2008	7	Research and Development	31	ID	Mungkin
Like Stars on Earth (Taare Zameen Par)	Goldina Melvin	2012	49	Legal	81	CM	Bogo
Man on the Flying Trapeze	Viviyan Gaskin	1984	47	Research and Development	33	FR	Tours
Frequently Asked Questions About Time Travel	Kelli Drakes	1998	52	Product Management	16	MX	El Tejocote
12 Dates of Christmas	Candida Baly	2008	47	Services	58	SE	Säffle
Hamlet Goes Business (Hamlet liikemaailmassa)	Gayle Tryme	1999	36	Business Development	100	FI	Petäjävesi
Extraterrestrial (Extraterrestre)	Jade Gelsthorpe	2006	44	Product Management	68	PH	Tocok
21 tapaa pilata avioliitto	Anette Harewood	1990	44	Legal	67	PH	San Juan
Touch of Class, A	Mathew Surgeoner	2009	77	Product Management	51	UG	Bukomansimbi
Anchorman: The Legend of Ron Burgundy	Gilly McOnie	2009	48	Training	56	RU	Perovo
Bleak Moments	Tyne Maly	1965	43	Research and Development	59	LA	Xam Nua
Possession	Mattheus Probyn	1994	51	Business Development	66	PH	Rajal Norte
Memphis Belle: A Story of a Flying Fortress, The	Charita Flacknell	2010	52	Support	80	AR	Pozo Hondo
Dragon Ball Z the Movie: The World's Strongest (a.k.a. Dragon Ball Z: The Strongest Guy in The World) (Doragon bôru Z: Kono yo de ichiban tsuyoi yatsu)	Lishe Croster	2007	1	Engineering	5	TZ	Bukonyo
Boy Meets Boy	Cello Raimbauld	2012	16	Training	67	PK	Minchinābād
Death Hunt	Jemimah Ivanov	2003	92	Research and Development	34	CZ	Heřmanův Městec
